Title;Abstract;annotator1_Label;annotator1_Explanation (optional);annotator1_evidence;annotator2_Label;annotator2_Explanation (optional);annotator2_evidence;annotator3_Label;annotator3_Explanation (optional);annotator3_evidence;annotator4_Label;annotator4_Explanation (optional);annotator4_evidence;FinalLabel;Venue;Date
ALCUNA: Large Language Models Meet New Knowledge;With the rapid development of NLP, large-scale language models (LLMs) excel in various tasks across multiple domains now. However, existing benchmarks may not adequately measure these models’ capabilities, especially when faced with new knowledge. In this paper, we address the lack of benchmarks to evaluate LLMs’ ability to handle new knowledge, an important and challenging aspect in the rapidly evolving world. We propose an approach called KnowGen that generates new knowledge by altering existing entity attributes and relationships, resulting in artificial entities that are distinct from real-world entities. With KnowGen, we introduce a benchmark named ALCUNA to assess LLMs’ abilities in knowledge understanding, differentiation, and association. We benchmark several LLMs, reveals that their performance in face of new knowledge is not satisfactory, particularly in reasoning between new and internal knowledge. We also explore the impact of entity similarity on the model’s understanding of entity knowledge and the influence of contextual entities. We appeal to the need for caution when using LLMs in new scenarios or with new knowledge, and hope that our benchmarks can help drive the development of LLMs in face of new knowledge.;5;The paper deals with the problems of LLMs facing new knowledge, and proposes a new benchmark to measure this ability of LLMs.;"""We benchmark several LLMs, reveals that their performance in face of new knowledge is not satisfactory, particularly in reasoning between new and internal knowledge"", ""We appeal to the need for caution when using LLMs in new scenarios or with new knowledge, and hope that our benchmarks can help drive the development of LLMs in face of new knowledge.""";4;mostly benchmark-focused but with substantial space devoted to limitations;"""existing benchmarks may not adequately measure these models’ capabilities, especially when faced with new knowledge"", ""We benchmark several LLMs, reveals that their performance in face of new knowledge is not satisfactory, particularly in reasoning between new and internal knowledge"", ""We appeal to the need for caution when using LLMs in new scenarios or with new knowledge""";4;the paper is about difficulties LLMs face in handling new knowledge. but the central focus of the paper is ALCUNA benchmark;;4;3.5 maybe - it's a borderline case;;4;emnlp2023;December 2023
Template-free Prompt Tuning for Few-shot NER;Prompt-based methods have been successfully applied in sentence-level few-shot learning tasks, mostly owing to the sophisticated design of templates and label words. However, when applied to token-level labeling tasks such as NER, it would be time-consuming to enumerate the template queries over all potential entity spans. In this work, we propose a more elegant method to reformulate NER tasks as LM problems without any templates. Specifically, we discard the template construction process while maintaining the word prediction paradigm of pre-training models to predict a class-related pivot word (or label word) at the entity position. Meanwhile, we also explore principled ways to automatically search for appropriate label words that the pre-trained models can easily adapt to. While avoiding the complicated template-based process, the proposed LM objective also reduces the gap between different objectives used in pre-training and fine-tuning, thus it can better benefit the few-shot performance. Experimental results demonstrate the effectiveness of the proposed method over bert-tagger and template-based method under few-shot settings. Moreover, the decoding speed of the proposed method is up to 1930.12 times faster than the template-based method.;2;Briefly mentions a limitation (time) of LLMs on token-level labeling task, but the main focus is on the details of the new method proposed to speed up this process.;"""However, when applied to token-level labeling tasks such as NER, it would be time-consuming to enumerate the template queries over all potential entity spans.""";2;mentions computational problems in word-level classification tasks with LLMs;"""time-consuming to enumerate the template queries over all potential entity spans""";2;"ADJUSTED: previously 3 

discusses limitation of existing methods for NER, particularly the inefficiency of template enumeration, but focuses primarily on introducing and validating the new method";"""However, when applied to token-level labeling tasks such as NER, it would be time-consuming to enumerate the template queries over all potential entity spans.""";1;;;2;naacl2022;July 2022
EQ-Bench: An Emotional Intelligence Benchmark for Large Language Models;We introduce EQ-Bench, a novel benchmark designed to evaluate aspects of  emotional intelligence in Large Language Models (LLMs). We assess the ability  of LLMs to understand complex emotions and social interactions by asking them  to predict the intensity of emotional states of characters in a dialogue. The  benchmark is able to discriminate effectively between a wide range of models.  We find that EQ-Bench correlates strongly with comprehensive multi-domain  benchmarks like MMLU (Hendrycks et al., 2020) (r=0.97), indicating that we may  be capturing similar aspects of broad intelligence. Our benchmark produces  highly repeatable results using a set of 60 English-language questions. We also  provide open-source code for an automated benchmarking pipeline at  https://github.com/EQ-bench/EQ-Bench and a leaderboard at https://eqbench.com;1;A new benchmark is proposed, but there are no limitations of LLMs mentioned.;;1;mentions LLMs but no limitations, only hype;;1;"ADJUSTED: previously 3

the paper mentions the (potential) limitation - evaluating emotional intelligence, but does not say how models perform on this task";;1;;;1;arxiv;11 December 2023
SKVQ: Sliding-window Key and Value Cache Quantization for Large Language Models;Large language models (LLMs) can now handle longer sequences of tokens,  enabling complex tasks like book understanding and generating lengthy novels.  However, the key-value (KV) cache required for LLMs consumes substantial memory  as context length increasing, becoming the bottleneck for deployment. In this  paper, we present a strategy called SKVQ, which stands for sliding-window KV  cache quantization, to address the issue of extremely low bitwidth KV cache  quantization. To achieve this, SKVQ rearranges the channels of the KV cache in  order to improve the similarity of channels in quantization groups, and applies  clipped dynamic quantization at the group level. Additionally, SKVQ ensures  that the most recent window tokens in the KV cache are preserved with high  precision. This helps maintain the accuracy of a small but important portion of  the KV cache.SKVQ achieves high compression ratios while maintaining accuracy.  Our evaluation on LLMs demonstrates that SKVQ surpasses previous quantization  approaches, allowing for quantization of the KV cache to 2-bit keys and 1.5-bit  values with minimal loss of accuracy. With SKVQ, it is possible to process  context lengths of up to 1M on an 80GB memory GPU for a 7b model and up to 7  times faster decoding.;2;Briefly mentions memory problems of LLMs, but the main focus is on the new method they propose.;"""However, the key-value (KV) cache required for LLMs consumes substantial memory  as context length increasing, becoming the bottleneck for deployment.""";1;Discusses LLMs and hints at computational limitations;;2;"ADJUSTED: previously 3

discusses the substantial memory consumption of KV caches (with an increase in context length) as a limitation, but the main focus is on validating SKVQ";"""However, the key-value (KV) cache required for LLMs consumes substantial memory  as context length increasing, becoming the bottleneck for deployment.""";2;;;2;arxiv;10 May 2024
Comparing a BERT Classifier and a GPT classifier for Detecting Connective Language Across Multiple Social Media;This study presents an approach for detecting connective language—defined as language that facilitates engagement, understanding, and conversation—from social media discussions. We developed and evaluated two types of classifiers: BERT and GPT-3.5 turbo. Our results demonstrate that the BERT classifier significantly outperforms GPT-3.5 turbo in detecting connective language. Furthermore, our analysis confirms that connective language is distinct from related concepts measuring discourse qualities, such as politeness and toxicity. We also explore the potential of BERT-based classifiers for platform-agnostic tools. This research advances our understanding of the linguistic dimensions of online communication and proposes practical tools for detecting connective language across diverse digital environments.;1;The paper deals with the ability of LLMs to detect connective language and compares to models of which one outperforms the other.;;1;;;2;something between 2 and 3. one aspect which could be potentially problematic is mentioned (connective language), but it is not explicitly presented as a limitation of an LLM, maybe slightly in comparison between GPT-3.5 and BERT;"""Our results demonstrate that the BERT classifier significantly outperforms GPT-3.5 turbo in detecting connective language.""";1;;;1;emnlp2024;November 2024
OpenResearcher: Unleashing AI for Accelerated Scientific Research;The rapid growth of scientific literature imposes significant challenges for researchers endeavoring to stay updated with the latest advancements in their fields and delve into new areas. We introduce OpenResearcher, an innovative platform that leverages Artificial Intelligence (AI) techniques to accelerate the research process by answering diverse questions from researchers. OpenResearcher is built based on Retrieval-Augmented Generation (RAG) to integrate Large Language Models (LLMs) with up-to-date, domain-specific knowledge. Moreover, we develop various tools for OpenResearcher to understand researchers’ queries, search from the scientific literature, filter retrieved information, provide accurate and comprehensive answers, and self-refine these answers. OpenResearcher can flexibly use these tools to balance efficiency and effectiveness. As a result, OpenResearcher enables researchers to save time and increase their potential to discover new insights and drive scientific breakthroughs. Demo, video, and code are available at: https://github.com/GAIR-NLP/OpenResearcher.;1;Focuses only of the benefits of LLMs, no limitations mentioned.;;1;;;1;"ADJUSTED: previosuly 2 
Just focuses on some application of an LLM";;1;;;1;emnlp2024;November 2024
Mitigating Temporal Misalignment by Discarding Outdated Facts;While large language models are able to retain vast amounts of world knowledge seen during pretraining, such knowledge is prone to going out of date and is nontrivial to update. Furthermore, these models are often used under temporal misalignment, tasked with answering questions about the present, despite having only been trained on data collected in the past. To mitigate the effects of temporal misalignment, we propose fact duration prediction: the task of predicting how long a given fact will remain true. In our experiments, we demonstrate that identifying which facts are prone to rapid change can help models avoid reciting outdated information and determine which predictions require seeking out up-to-date knowledge sources. We also show how modeling fact duration improves calibration for knowledge-intensive tasks, such as open-retrieval question answering, under temporal misalignment, by discarding volatile facts.;3;The paper deals with the problem of outdated facts in LLMs. The primary focus is on solving this problem with a new method.;"""such knowledge is prone to going out of date and is nontrivial to update. Furthermore, these models are often used under temporal misalignment, tasked with answering questions about the present, despite having only been trained on data collected in the past.""";2;mentions temporal misalignment limitations and proposes a solution;"""these models are often used under temporal misalignment, tasked with answering questions about the present, despite having only been trained on data collected in the past""";2;"discusses temporal misalignment as a limitation, but maybe the central focus is on solution, not an analysis of the limitation itself

2.5 maybe";"""While large language models are able to retain vast amounts of world knowledge seen during pretraining, such knowledge is prone to going out of date and is nontrivial to update. Furthermore, these models are often used under temporal misalignment, tasked with answering questions about the present, despite having only been trained on data collected in the past.""";1;potentially 1.5 if small limitations discussed would be considered;;2;emnlp2023;December 2023
ANALOGICAL -- A Novel Benchmark for Long Text Analogy Evaluation in Large Language Models;Over the past decade, analogies, in the form of word-level analogies, have played a significant role as an intrinsic measure of evaluating the quality of word embedding methods such as word2vec. Modern large language models (LLMs), however, are primarily evaluated on extrinsic measures based on benchmarks such as GLUE and SuperGLUE, and there are only a few investigations on whether LLMs can draw analogies between long texts. In this paper, we present ANALOGICAL, a new benchmark to intrinsically evaluate LLMs across a taxonomy of analogies of long text with six levels of complexity -- (i) word, (ii) word vs. sentence, (iii) syntactic, (iv) negation, (v) entailment, and (vi) metaphor. Using thirteen datasets and three different distance measures, we evaluate the abilities of eight LLMs in identifying analogical pairs in the semantic vector space. Our evaluation finds that it is increasingly challenging for LLMs to identify analogies when going up the analogy taxonomy.;2;The paper proposes a new benchmark to measure the ability of LLMs to identify analogies between texts. The authors conclude that LLMs are limited in this ability.;"""Our evaluation finds that it is increasingly challenging for LLMs to identify analogies when going up the analogy taxonomy.""";3;benchmarking paper which finds substantial limiations in analogical reasoning;"""Our evaluation finds that it is increasingly challenging for LLMs to identify analogies when going up the analogy taxonomy.""";3;The main focus is on developing a benchmark. A limitation is mentioned (analogy identification), but it is not discussed extensively;"""Our evaluation finds that it is increasingly challenging for LLMs to identify analogies when going up the analogy taxonomy.""";3;2 or 3 - the last sentence certainly outlines a limitation, but nothing else;;3;arxiv;08 May 2023
Language is Scary when Over-Analyzed: Unpacking Implied Misogynistic Reasoning with Argumentation Theory-Driven Prompts;We propose misogyny detection as an Argumentative Reasoning task and we investigate the capacity of large language models (LLMs) to understand the implicit reasoning used to convey misogyny in both Italian and English. The central aim is to generate the missing reasoning link between a message and the implied meanings encoding the misogyny. Our study uses argumentation theory as a foundation to form a collection of prompts in both zero-shot and few-shot settings. These prompts integrate different techniques, including chain-of-thought reasoning and augmented knowledge. Our findings show that LLMs fall short on reasoning capabilities about misogynistic comments and that they mostly rely on their implicit knowledge derived from internalized common stereotypes about women to generate implied assumptions, rather than on inductive reasoning.;5;The focus of the paper is on evaluating the ability of LLMs to detect misogyny. They conclude that LLMs are limited in their reasoning capabilities about misogynistic comments.;"""Our findings show that LLMs fall short on reasoning capabilities about misogynistic comments and that they mostly rely on their implicit knowledge derived from internalized common stereotypes about women to generate implied assumptions, rather than on inductive reasoning.""";4;explicit focus on reasoning failures;"""Our findings show that LLMs fall short on reasoning capabilities about misogynistic comments and that they mostly rely on their implicit knowledge derived from internalized common stereotypes about women to generate implied assumptions, rather than on inductive reasoning""";4;Is very well focused on investigating a limitation (reasoning in misogyny detection). But it is also focused on solutions;"""Our findings show that LLMs fall short on reasoning capabilities about misogynistic comments and that they mostly rely on their implicit knowledge derived from internalized common stereotypes about women to generate implied assumptions, rather than on inductive reasoning.""";3;maybe also just not strong enough to warrant 4;;4;emnlp2024;November 2024
Synthesizing Text-to-SQL Data from Weak and Strong LLMs;The capability gap between open-source and closed-source large language models (LLMs) remains a challenge in text-to-SQL tasks. In this paper, we introduce a synthetic data approach that combines data produced by larger, more powerful models (strong models) with error information data generated by smaller, not well-aligned models (weak models). The method not only enhances the domain generalization of text-to-SQL models but also explores the potential of error data supervision through preference learning. Furthermore, we employ the synthetic data approach for instruction tuning on open-source LLMs, resulting SENSE, a specialized text-to-SQL model. The effectiveness of SENSE is demonstrated through state-of-the-art results on the SPIDER and BIRD benchmarks, bridging the performance gap between open-source models and methods prompted by closed-source models.;2;The paper deals with the limitations of weak models (closed-source), and proposes a method to improve the performance of the weak models.;"""The capability gap between open-source and closed-source large language models (LLMs) remains a challenge in text-to-SQL tasks."", ""not well-aligned models (weak models).""";2;"focuses on the ""performance gap"" between open-source and proprietary LLM models";"""The capability gap between open-source and closed-source large language models (LLMs) remains a challenge in text-to-SQL tasks""";2;"previously 3
Mentions the weakness of closed-source models in text-to-SQL tasks, but the main focus is on the approach for bridging the gap between strong and weak models";"""The capability gap between open-source and closed-source large language models (LLMs) remains a challenge in text-to-SQL tasks.""";1;;;2;acl2024;August 2024
