Significant,Topic,Tau,p_value,Trend_Direction
✅,Multimodality,0.85,7.32e-05,⬆️
✅,Social Bias,0.69,0.00122,⬆️
✅,Security Risks,0.69,0.00122,⬆️
✅,Computational Cost,0.55,0.00988,⬆️
✅,Reasoning,0.51,0.0173,⬆️
✅,Hallucination,0.51,0.0173,⬆️
✅,Knowledge Editing,0.44,0.0376,⬆️
❌,Code Generation,0.38,0.0769,➡️
❌,Benchmark Contamination,0.36,0.094,➡️
❌,Healthcare Application,0.35,0.112,➡️
❌,Quantization,0.29,0.177,➡️
❌,Multilinguality,0.26,0.246,➡️
❌,Conversational Limitations,0.15,0.502,➡️
❌,Context & Memory Limitations,0.10,0.669,➡️
