Significant,Topic,Tau,p_value,Trend_Direction
✅,Multimodality,0.95,8.44e-06,⬆️
✅,Social Bias,0.92,1.48e-05,⬆️
✅,Security Risks,0.87,4.36e-05,⬆️
✅,Hallucination,0.87,4.36e-05,⬆️
✅,Computational Cost,0.86,5.03e-05,⬆️
✅,Context & Memory Limitations,0.82,0.000121,⬆️
✅,Conversational Limitations,0.82,0.000121,⬆️
✅,Multilinguality,0.82,0.000121,⬆️
✅,Reasoning,0.79,0.000198,⬆️
✅,Code Generation,0.79,0.000198,⬆️
✅,Healthcare Application,0.76,0.000392,⬆️
✅,Quantization,0.68,0.0014,⬆️
✅,Knowledge Editing,0.56,0.00675,⬆️
✅,Benchmark Contamination,0.54,0.011,⬆️
