Significant,Topic,Tau,p_value,Trend_Direction
✅,Multimodality,0.59,0.00604,⬆️
✅,Hallucination,0.51,0.0173,⬆️
✅,Context & Memory Limitations,-0.46,0.0327,⬇️
✅,Conversational Limitations,-0.44,0.0441,⬇️
❌,Knowledge Editing,0.41,0.0508,➡️
❌,Security Risks,0.33,0.127,➡️
❌,Computational Cost,0.32,0.14,➡️
❌,Benchmark Contamination,0.26,0.239,➡️
❌,Code Generation,0.26,0.246,➡️
❌,Quantization,0.24,0.269,➡️
❌,Multilinguality,-0.21,0.36,➡️
❌,Social Bias,-0.15,0.502,➡️
❌,Healthcare Application,0.06,0.807,➡️
❌,Reasoning,-0.05,0.855,➡️
