Significant,Topic,Tau,p_value,Trend_Direction
✅,Multimodality,0.59,0.00604,⬆️
✅,Context & Memory Limitations,-0.51,0.0173,⬇️
✅,Hallucination,0.51,0.0173,⬆️
✅,Conversational Limitations,-0.46,0.0327,⬇️
❌,Knowledge Editing,0.41,0.0508,➡️
❌,Code Generation,0.28,0.2,➡️
❌,Benchmark Contamination,0.26,0.239,➡️
❌,Social Bias,-0.26,0.246,➡️
❌,Security Risks,0.26,0.246,➡️
❌,Quantization,0.24,0.269,➡️
❌,Multilinguality,-0.23,0.3,➡️
❌,Computational Cost,0.22,0.326,➡️
❌,Reasoning,-0.08,0.76,➡️
❌,Healthcare Application,0.01,1,➡️
