Significant,Topic,Spearman_rho,p_value,Trend_Direction
✅,Multimodality,0.75,0.00298,⬆️
✅,Hallucination,0.72,0.00554,⬆️
✅,Conversational Limitations,-0.65,0.0165,⬇️
✅,Context & Memory Limitations,-0.62,0.0235,⬇️
✅,Knowledge Editing,0.62,0.025,⬆️
❌,Code Generation,0.45,0.122,⬆️
❌,Computational Cost,0.43,0.147,⬆️
❌,Security Risks,0.37,0.209,⬆️
❌,Quantization,0.37,0.213,⬆️
❌,Multilinguality,-0.35,0.247,⬇️
❌,Benchmark Contamination,0.32,0.281,⬆️
❌,Healthcare Application,0.19,0.535,⬆️
❌,Social Bias,-0.15,0.616,⬇️
❌,Reasoning,-0.06,0.845,⬇️
